n,xa,phat_a,variance_a,sigma_a,cdf_probability,relative_gain
262,19,0.0725190839694656,0.000256717810800364,0.0160224158852641,0.0793467128308171,0.0036675441364144
263,19,0.0722433460076046,0.000254845037890609,0.015963866633451,0.0765075482659583,0.00365420871811221
264,19,0.071969696969697,0.000252992650332526,0.0159057426840914,0.0737533259196934,0.00364096936501482
265,19,0.0716981132075472,0.000251160353849151,0.0158480394323446,0.0710822923299998,0.00362782504990798
266,19,0.0714285714285714,0.00024934785944453,0.0157907523394083,0.0684926926911922,0.00361477476004943
267,20,0.0749063670411985,0.000259533345385347,0.0161100386525094,0.0994902003676368,-0.0202198290643982
268,20,0.0746268656716418,0.000257677972356972,0.0160523509915829,0.0961394576349791,0.00358085180121776
269,20,0.0743494423791822,0.000255842389580249,0.0159950739160608,0.092880590106338,0.00356814248281286
270,20,0.0740740740740741,0.000254026317126454,0.0159382030708124,0.0897120285453098,0.00355552250316753
271,20,0.0738007380073801,0.000252229479988731,0.0158817341618833,0.0866321867080042,0.00354299093054774
272,20,0.0735294117647059,0.000250451607978832,0.0158256629554288,0.0836394639027524,0.0035305468460155
273,20,0.0732600732600733,0.000248692435626381,0.0157699852766698,0.0807322474633621,0.0035181893432119
274,20,0.072992700729927,0.000246951702080578,0.0157146970088697,0.0779089151346666,0.00350591752814537
275,20,0.0727272727272727,0.000245229151014275,0.0156597940923332,0.0751678373698711,0.00349373051898221
276,20,0.072463768115942,0.000243524530530366,0.0156052725234251,0.0725073795393558,0.00348162744584496
277,20,0.0722021660649819,0.000241837593070421,0.015551128353609,0.0699259040506732,0.00346960745061166
278,20,0.0719424460431655,0.00024016809532551,0.0154973576885064,0.0674217723801319,0.00345766968671883
279,21,0.0752688172043011,0.00024947463211816,0.0157947659722504,0.0972567125691332,-0.0191909027152773
280,21,0.075,0.000247767857142857,0.0157406434793136,0.0940303760138236,0.00342660936109644
281,21,0.0747330960854092,0.000246078506885759,0.0156868896498241,0.0908912377437454,0.00341497026853532
282,21,0.074468085106383,0.000244406345414792,0.0156335007408703,0.0878378220957054,0.00340340948050216
283,21,0.0742049469964664,0.000242751140769322,0.0155804730598696,0.0848686386034786,0.00339192621535493
284,21,0.073943661971831,0.000241112664880375,0.0155278029637285,0.0819821842695761,0.0033805197017253
285,21,0.0736842105263158,0.000239490693492735,0.0154754868580195,0.079176945761084,0.00336918917835213
286,21,0.0734265734265734,0.00023788500608883,0.0154235211961741,0.0764514015283871,0.00335793389392027
287,21,0.0731707317073171,0.0002362953858144,0.0153719024786915,0.0738040238472659,0.00334675310689777
288,21,0.0729166666666667,0.000234721619405864,0.0153206272523635,0.071233280783228,0.0033356460853817
289,21,0.0726643598615917,0.000233163497119366,0.0152696921095144,0.0687376380783724,0.00332461210694129
