n,xr,phat_r,variance_r,sigma_r,tail_probability,relative_gain
123,19,0.154471544715447,0.00106187062267212,0.0325863563884046,0.0371333815490902,0.00738659452296581
124,19,0.153225806451613,0.00104635208620053,0.03234736598551,0.0398849578939216,0.00733406337443922
125,19,0.152,0.001031168,0.0321118046830134,0.0427819005362086,0.00728224061897839
126,19,0.150793650793651,0.00101630893392042,0.0318796005922349,0.0458277514451554,0.00723111307728279
127,19,0.149606299212598,0.00100176578305913,0.0316506837692194,0.0490258948995521,0.00718066784912268
128,20,0.15625,0.00102996826171875,0.0320931186038183,0.0297865371712597,-0.0139786817190106
129,20,0.155038759689922,0.00101551738514522,0.0318671835144748,0.0320458378953157,0.00703998549136367
130,20,0.153846153846154,0.00100136549840692,0.0316443596618247,0.0344304271140695,0.00699226690519782
131,20,0.152671755725191,0.000987504509381515,0.0314245844742857,0.0369439130473488,0.0069451614723043
132,20,0.151515151515152,0.000973926593761305,0.0312077970026932,0.0395898058289044,0.00689865833452419
133,20,0.150375939849624,0.000960624184691476,0.0309939378700332,0.0423715054965864,0.00685274685174175
134,20,0.149253731343284,0.000947589962861123,0.0307829492229241,0.0452922901476575,0.00680741659849135
135,20,0.148148148148148,0.000934816847025352,0.0305747746847847,0.0483553043121694,0.00676265736047012
136,21,0.154411764705882,0.000960064497252188,0.0309849075721098,0.0297474932627557,-0.0134140935314629
137,21,0.153284671532847,0.000947361175225649,0.0307792328563538,0.0319290986961329,0.00663789992845232
138,21,0.152173913043478,0.000934905892989233,0.0305762308499467,0.0342281751913112,0.00659542124894713
139,21,0.151079136690647,0.000922692310413354,0.0303758507767824,0.0366480506209798,0.00655345893179755
140,21,0.15,0.000910714285714286,0.0301780431061109,0.0391919700852805,0.00651200429331692
141,21,0.148936170212766,0.00089896586819234,0.0299827595159675,0.0418630855227967,0.00647104881707252
142,21,0.147887323943662,0.000887441291270735,0.0297899528578132,0.0446644454320524,0.00643058415125501
143,21,0.146853146853147,0.000876134965821503,0.0295995771223425,0.0475989847468463,0.00639060210599752
144,22,0.152777777777778,0.000898866169410151,0.0299810968680292,0.0296144509462414,-0.0128893647402382
145,22,0.151724137931034,0.000887613268276682,0.0297928392114059,0.0317199573424098,0.00627921177974329
146,22,0.150684931506849,0.000876568376189215,0.0296068974428125,0.0339358330254663,0.00624115638237671
147,22,0.149659863945578,0.000865726456254213,0.0294232298746112,0.036265161543506,0.00620353985269957
148,22,0.148648648648649,0.00085508262097013,0.0292417957890778,0.0387109564874444,0.00616635516585199
149,22,0.147651006711409,0.000844632127037025,0.0290625554113369,0.0412761524443948,0.00612959542682828
150,22,0.146666666666667,0.00083437037037037,0.0288854698831501,0.0439635960211681,0.0060932538684363
151,22,0.145695364238411,0.000824292881310248,0.0287105012375306,0.0467760369736048,0.00605732384923097
152,22,0.144736842105263,0.000814395320017495,0.0285376123741545,0.0497161194769588,0.00602179885143022
153,23,0.150326797385621,0.00083482778675427,0.0288933865573814,0.0314341519106501,-0.0124668517660982
154,23,0.149350649350649,0.000824967746033693,0.0287222517577173,0.0335693740767885,0.00592297477224748
155,23,0.148387096774194,0.000815279782484643,0.0285531046032589,0.0358113573512377,0.0058890631516366
156,23,0.147435897435897,0.000805759958866468,0.0283859112741949,0.0381629112368428,0.00585552189112362
157,23,0.146496815286624,0.000796404448391726,0.0282206386956732,0.0406267781438525,0.00582234535031572
158,23,0.145569620253165,0.000787209531091861,0.0280572545180718,0.0432056255065247,0.00578952798918781
159,23,0.144654088050314,0.00077817159031853,0.0278957270978645,0.0459020379695449,0.00575706436648289
160,23,0.14375,0.000769287109375,0.0277360254790588,0.048718509673638,0.00572494913810235
161,24,0.149068322981366,0.000787869304750866,0.0280690096859662,0.0310849477002514,-0.0120054766736072
162,24,0.148148148148148,0.000779014039187793,0.0279108229758241,0.0331421965971499,0.00563563559640561
163,24,0.147239263803681,0.000770305907964608,0.0277543853825771,0.0353000878861231,0.00560490793777689
164,24,0.146341463414634,0.000761741704270106,0.0275996685536277,0.0375612496867756,0.00557450027506213
165,24,0.145454545454545,0.000753318307037315,0.0274466447318669,0.039928253103639,0.00554440795053419
166,24,0.144578313253012,0.000745032678252566,0.0272952867406182,0.0424036052684559,0.00551462638611579
167,24,0.143712574850299,0.000736881860360458,0.0271455679690158,0.0449897424252568,0.00548515108212979
168,24,0.142857142857143,0.000728862973760933,0.0269974623578019,0.0476890230826773,0.00545597761604876
169,25,0.14792899408284,0.000745834359718812,0.0273099681383705,0.030683554940954,-0.0115753761011635
